 2021-12-13T18:05:04.309Z INFO  run > Using area: 2013265923TYPE299
 2021-12-13T18:05:04.309Z INFO  run > Using mode simulate for area '2013265923TYPE299'
 2021-12-13T18:05:04.309Z INFO  run > Loading data from disk...
 2021-12-13T18:05:04.313Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks101ew_population_144.csv'
 2021-12-13T18:05:07.842Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks608uk_occupation_count_NM_1518_1.csv'
 2021-12-13T18:05:08.276Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/wf01bew_residential_vs_workplace_NM_1228_1.csv'
 2021-12-13T18:05:09.100Z INFO  run              > Finished loading data in 4.791217062s,     Now Initialising  simulator
 2021-12-13T18:05:09.100Z DEBUG sim::simulator   > Current memory usage: 2.241 GB
 2021-12-13T18:05:09.101Z INFO  sim::models      > Loading map data from file...
 2021-12-13T18:05:10.399Z INFO  sim::models      > Finished loading map data in 1.297487093s
 2021-12-13T18:05:10.399Z INFO  sim::simulator   > Loaded map data in 1.29846196s
 2021-12-13T18:05:20.942Z INFO  sim::simulator   > Built residential population in 11.84226115s
 2021-12-13T18:05:20.942Z DEBUG sim::simulator   > Current memory usage: 4.131 GB
 2021-12-13T18:05:25.381Z INFO  sim::simulator   > Generated workplaces in 16.28118846s
 2021-12-13T18:05:25.381Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z INFO  sim::simulator   > Initialization completed in 16.315647 seconds
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Starting Statistics:
      There are 5249772 total Citizens
      17246 Output Areas
 2021-12-13T18:05:25.468Z INFO  run              > Initialised simulator, starting sim...
 2021-12-13T18:05:25.468Z INFO  sim::simulator   > Starting simulation...
Completed     10 time steps, in: 0.00 seconds  Statistics: Hour:    0, Total:        0, Susceptible:        0, Exposed:        0, Infected:        0, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.14 seconds  Statistics: Hour:  220, Total:  5249772, Susceptible:  5242047, Exposed:     4707, Infected:     3018, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.92 seconds  Statistics: Hour:  230, Total:  5249772, Susceptible:  5197267, Exposed:    49464, Infected:     3041, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.76 seconds  Statistics: Hour:  240, Total:  5249772, Susceptible:  5195861, Exposed:    50849, Infected:     3062, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.79 seconds  Statistics: Hour:  250, Total:  5249772, Susceptible:  5194851, Exposed:    51859, Infected:     3062, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.87 seconds  Statistics: Hour:  260, Total:  5249772, Susceptible:  5194295, Exposed:    52414, Infected:     3063, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.16 seconds  Statistics: Hour:  270, Total:  5249772, Susceptible:  5194294, Exposed:    52415, Infected:     3063, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.90 seconds  Statistics: Hour:  280, Total:  5249772, Susceptible:  5194266, Exposed:    52443, Infected:     3063, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.78 seconds  Statistics: Hour:  290, Total:  5249772, Susceptible:  5194266, Exposed:    52443, Infected:     3063, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.81 seconds  Statistics: Hour:  300, Total:  5249772, Susceptible:  5194266, Exposed:    52443, Infected:     3063, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.82 seconds  Statistics: Hour:  310, Total:  5249772, Susceptible:  5194266, Exposed:    48113, Infected:     7393, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
